timestamp,datapoint0,datapoint1,datapoint2,datapoint3
42:00.2,0,0,0,0
42:00.5,0,0,0,0
42:00.6,0,0,0,0
42:00.8,0,0,0,0
42:00.9,0,0,0,0
42:01.1,0,0,0,0
42:01.2,0,0,0,0
42:01.3,0,0,0,0
42:01.5,0,0,0,0
42:01.6,0,0,0,0
42:01.8,0,0,0,0
42:01.9,0,0,0,0
42:02.1,0,0,0,0
42:02.2,0,0,0,0
42:02.4,0,0,0,0
42:02.5,0,0,0,0
42:02.6,0,0,0,0
42:02.8,0,0,0,0
42:02.9,0,0,0,0
42:03.0,0,0,0,0
42:03.2,0,0,0,0
42:03.3,0,0,0,0
42:03.4,0,0,0,0
42:03.4,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.5,0,0,0,0
42:03.6,0,0,0,0
42:03.6,0,0,0,0
42:03.6,0,0,0,0
42:03.6,0,0,0,0
42:03.6,0,0,0,0
42:03.6,0,0,0,0
42:03.7,0,0,0,0
42:03.7,0,0,0,0
42:03.7,0,0,0,0
42:03.7,0,0,0,0
42:03.7,0,0,0,0
42:03.7,0,0,0,0
42:03.8,0,0,0,0
42:03.8,0,0,0,0
42:03.8,0,0,0,0
42:03.8,0,0,0,0
42:03.8,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:03.9,0,0,0,0
42:04.0,0,0,0,0
42:04.0,0,0,0,0
42:04.0,0,0,0,0
42:04.0,0,0,0,0
42:04.0,0,0,0,0
42:04.0,0,0,0,0
42:04.1,0,0,0,0
42:04.1,0,0,0,0
42:04.1,0,0,0,0
42:04.1,0,0,0,0
42:04.1,0,0,0,0
42:04.1,0,0,0,0
42:04.2,0,0,0,0
42:04.2,0,0,0,0
42:04.2,0,0,0,0
42:04.2,0,0,0,0
42:04.2,0,0,0,0
42:04.2,0,0,0,0
42:04.3,0,0,0,0
42:04.3,0,0,0,0
42:04.3,0,0,0,0
42:04.3,0,0,0,0
42:04.3,0,0,0,0
42:04.3,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.4,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.5,0,0,0,0
42:04.6,0,0,0,0
42:04.6,0,0,0,0
42:04.6,0,0,0,0
42:04.6,0,0,0,0
42:04.6,0,0,0,0
42:04.6,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.7,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.8,0,0,0,0
42:04.9,0,0,0,0
42:04.9,0,0,0,0
42:04.9,0,0,0,0
42:04.9,0,0,0,0
42:04.9,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
42:05.0,0,0,0,0
